,a,b
1876,OJT,On Job Training
1877,OLED,Organic Light-Emitting Diode
1878,OLLG,One Less Lonely Girl
1879,OLOY,Only Losers Obey Yolo
1880,OLTL,One Life To Live
1881,OM,Old Man
1882,OMA,Oh My Allah
1883,OMB,On My Break
1884,OMD,Oh My Days
1885,OMDB,Over My Dead Body
1886,OMFSM,Oh My Flying Spaghetti Monster
1887,OMFUG,Other Music Found UnderGround
1888,OMG,Oh My God
1889,OMGA,Oh My Giddy Aunt
1890,OMGD,Oh My God Dude
1891,OMGNA,"Oh My Gosh, Not Again"
1892,OMJ,Oh My Jonas ( )
1893,OMJC,Oh My Jesus Christ
1894,OML,Oh My Lord
1895,OMS,Oh My Science
1896,OMSJ,Oh My Sweet Jesus!
1897,OMT,One More Thing
1898,OMW,On My Way
1899,OMWH,On My Way Home
1900,OMZ,Oh My Zeus
1901,ONM,"Oh, Never Mind"
1902,ONNA,"Oh No, Not Again"
1903,ONNTA,"Oh No, Not This Again"
1904,ONO,Or Nearest Offer
1905,ONS,One Night Stand
1906,ONTD,Oh No They Didn’t
1907,ONYD,Oh No You Didn’t
1908,OOA,Out Of Ammo
1909,OOAK,One Of A Kind
1910,OOBE,Out Of Body Experience
1911,OOC,Out Of Control/Character/Context
1912,OOF,Out Of Office
1913,OOH,Out Of Here
1914,OOI,Out Of Interest
1915,OOM,Out Of Mana ( )
1916,OOMF,One Of My Friends/Followers
1917,OOML,Out Of My League
1918,OOMM,Out Of My Mind
1919,OOO,Out Of Office
1920,OOP,Out Of Place
1921,OOS,Out Of Style
1922,OOSOOM,"Out Of Sight, Out Of Mind"
1923,OOT,Out Of Town
1924,OOTB,Out Of The Box
1925,OOTC,Obligatory On-Topic Comment
1926,OOTD,Offer Of The Day Outfit Of The Day
1927,OOTO,Out Of The Office
1928,OOTW,Out Of This World
1929,OOYL,Out Of Your League
1930,OOYM,Out Of Your Mind
1931,OP,Original Poster
1932,OPB,Other People’s Business
1933,OPK,Other People’s Kids
1934,OPM,Other People’s Money
1935,OPPS,Misspelling of ‘oops’
1936,OSFA,One Size Fits All
1937,OSLT,Or Something Like That
1938,OSO,Other Significant Other
1939,OSS,Open Source Software
1940,OST,Original Sound Track
1941,OT,Off Topic
1942,OTA,Over The Air
1943,OTB,Off The boat
1944,OTC,Over The Counter
1945,OTD,On The Dot Out The Door
1946,OTE,Over The Edge
1947,OTF,Off Topic Forum
1948,OTFL,On The Floor Laughing
1949,OTG,On The Go Off The Ground
1950,OTH,Off The Hook
1951,OTK,Over The Knee
1952,OTLTA,One Thing Led To Another
1953,OTM,Of The Moment One Track Mind
1954,OTN,On That Note
1955,OTO,One Time Only
1956,OTOH,On The Other Hand
1957,OTOOH,On The Other Other Hand
1958,OTP,One True Pairing
1959,OTR,On The Run
1960,OTS,On The Side
1961,OTT,Over The Top
1962,OTTH,On The Third Hand
1963,OTTOMH,Off The Top Of My Head
1964,OTW,On The Way
1965,OTW,On The Whole
1966,OTY,Over To You
1967,OU,Open University
1968,OUAT,Once Upon A Time
1969,OUO,Official Use Only
1970,OVA,Original Video Animation
1971,OVNO,Or Very Near Offer
1972,OWK,Other World Kingdom
1973,OWNM,"Oh Well, Never Mind"
1974,OWOA,One Way Or Another
1975,OWS,Occupy Wall Street
1976,OWTTE,Or Words To That Effect
1977,OY,Oh Yeah
1978,OYB,On Your Bike
1979,OYG,Oh Your God
1980,OYO,On Your Own
1981,PA,Personal Assistant
1982,PABX,Private Automatic Branch Exchange
1983,PAN,Personal Area Network
1984,PATD,Panic At The Disco (band)
1985,PATT,Party All The Time
1986,PAYE,Pay As You Earn
1987,PAYG,Pay As You Go
1988,PB,Personal Best
1989,PBB,Pirate Bulletin Board
1990,PBJ,Peanut Butter and Jelly
1991,PBN,Paintball Nation
1992,PBP,Please Be Patient
1993,PBQ,Please Be Quiet
1994,PBR,Pabst Blue Ribbon (beer)
1995,PBS,Public Broadcasting Service
1996,PBUH,Peace Be Upon Him
1997,PBWY,Peace Be With You
1998,PC,Politically Correct Personal Computer
1999,PCB,Printed Circuit Board  Please Come Back
2000,PCI,Peripheral Component Interconnect
2001,PCM,Please Call Me
2002,PCMCIA,Personal Computer Memory Card International Association
2003,PCMIA,Personal Computer Manufacturer Interface Adaptor
2004,PCMR,PC Master Race
2005,PD,Public Domain
2006,PDA,Personal Digital Assistant
2007,PDBAZ,Please Don’t Be A Zombie
2008,PDEA,Public Display of Elderly Affection
2009,PDF,Portable Document Format
2010,PDG,Pretty Damn Good
2011,PDOA,Public Display Of Affection
2012,PDP,Pretty Darn Precious
2013,PDQ,Pretty Damn Quick
2014,PDT,Pacific Daylight Time
2015,PE,Physical Education
2016,PEBCAC,Problem Exists Between Chair And Computer
2017,PEBCAK,Problem Exists Between Chair And Keyboard
2018,PEBKAC,Problem Exists Between Keyboard And Chair
2019,PEMDAS,"Parenthesis, Exponents, Multiply, Divide, Add, Subtract"
2020,PEWS,Post Election Withdrawal Syndrome
2021,PFA,Please Find Attached
2022,PFB,Please Find Below
2023,PFC,Private First Class
2024,PFP,Picture For Proof
2025,PG,Parental Guidance
2026,PGA,Professional Golfers’ Association
2027,PGDA,Pretty Goddamn Awesome
2028,PGP,Pretty Good Privacy (encryption)
2029,PHAT,Pretty Hot And Tempting
2030,PHB,Pointy-Haired Boss (from Dilbert)
2031,PIBE,Play It By Ear
2032,PIC,Picture Partner In Crime
2033,PICNIC,Problem In Chair Not In Computer
2034,PIMPL,Pee In My Pants Laughing
2035,PIN,Personal Identification Number
2036,PIPA,Protect IP Act
2037,PIQ,Person In Question
2038,PIR,Parent In Room
2039,PITME,Peace In the Middle East
2040,PITR,Parent In The Room
2041,PIU,Pump It Up
2042,PK,Player Kill ( )
2043,PKB,"Pot, Kettle, Black"
2044,PKI,Public Key Infrastructure
2045,PKIT,Please Keep In Touch
2046,PLA,People’s Liberation Army
2047,PLC,Public Limited Company
2048,PLD,Poor Life Decision
2049,PLH,"Peace, Love and Happiness"
2050,PLI,Potential Love Interest
2051,PLL,Pretty Little Liar
2052,PLMA,Please Leave Me Alone
2053,PLMK,Please Let Me Know
2054,PLOS,Parents Looking Over Shoulder
2055,PLP,People Lazily Procrastinating
2056,PLR,Private Label Rights
2057,PLRN,Please Leave Right Now
2058,PLU,People Like Us
2059,PLUR,"Peace, Love, Unity, and Respect"
2060,PM,Private Message Post Meridiem (afternoon)
2061,PMA,Positive Mental Attitude
2062,PMB,Private Message Box
2063,PMC,Post Meal Cigarette
2064,PMD,Put Me Down
2065,PMF,Pardon My French
2066,PMFJI,Pardon Me For Jumping In
2067,PMIGBOM,"Put Mind In Gear, Before Opening Mouth!"
2068,PMJI,Pardon My Jumping In
2069,PMT,Pre-Menstrual Tension
2070,PMYMHMMFSWGAD,"Pardon Me, You Must Have Mistaken Me For Someone Who Gives A Damn"
2071,PNC,Point and Click Partner in Crime
2072,PNL,Peace And Love
2073,PNP,Party and Play
2074,PNR,Passenger Name Record
2075,PNW,Pacific North West
2076,POA,Plan Of Action
2077,POD,Passed Out Drunk
2078,POF,Plenty of Fish  (dating site)
2079,POI,Point(s) Of Interest
2080,POIDH,Pics Or It Didn’t Happen
2081,POMO,Permanent Open Market Operations Post Modern A Group Of Native American People In California
2082,PONR,Point Of No Return
2083,POTC,Pirates Of The Carribean
2084,POTD,Post Of The Day
2085,POTO,Phantom Of The Opera
2086,POTS,"Parents Over The Shoulder (parents watching, I can’t really talk)"
2087,POTUS,President of the United States
2088,POTW,Patient of the Week (House M.D.)
2089,POTY,Post Of The Year
2090,POV,Point Of View
2091,POW,Prisioner of War
2092,PPB,Parts Per Billion
2093,PPC,Pay Per Click
2094,PPD,Post Potter Depression
2095,PPM,Parts Per Million
2096,PPPW,"Per Person, Per Week"
2097,PPS,Post-Post Script
2098,PPU,Please Pick Up
2099,PPV,Pay Per View
2100,PQ,Party Quest (game)
2101,PR,Public Relations
2102,PRC,People’s Republic of China
2103,PS,PhotoShop Play Station Post Script
2104,PS & QS,Pints and Quarts Please and Thank Yous
2105,PS2,Play Station 2
2106,PS3,Play Station 3
2107,PS4,PlayStation 4
2108,PSA,Publice Service Announcement
2109,PSB,Please See Below
2110,PSH,Dismissive expression
2111,PSI,Pounds per Square Inch (pressure) Greek letter
2112,PSM,Personal Short Message
2113,PSN,Playstation Network
2114,PSP,PlayStation Portable
2115,PSR,"Pretty Standard, Really"
2116,PST,Please Send Tell Pacific Standard Time
2117,PSTN,Public Switched Telephone Network
2118,PSU,Power Supply Unit
2119,PT,Phantasy Tour Physical Training
2120,PTB,Powers That Be Pass The Buck Please Text Back
2121,PTC,Popping The Collar
2122,PTI,Pardon The Interruption
2123,PTL,Praise The Lord
2124,PTM,Please Tell Me
2125,PTO,Paid Time Off
2126,PTP,Pay To Play Peer To Peer
2127,PTSD,Post Traumatic Stress Disorder
2128,PTT,Push-To-Talk
2129,PTW,Play To Win Professional Time Waster
2130,PTZ,Pan-Tilt-Zoom
2131,PUA,Pick Up Artist
2132,PUG,Pick Up Group
2133,PUV,Public Utility Vehicle
2134,PV,Promotional Video
2135,PVC,"Polyvinyl Chloride, vinyl"
2136,PVE,Player versus Environment ( )
2137,PVM,Player Versus Monster
2138,PVP,Player v Player
2139,PVR,Personal Video Recorder
2140,PWOR,Proceeding With Orders Recieved
2141,PWOS,Parents Watching Over Shoulder
2142,PWT,Poor White Trash
2143,PX,Post Exchange Part Exchange
2144,PYP,Play Your Position
2145,PYT,Pretty Young Thing
2146,QA,Quality Assurance Question and Answer
2147,QANTAS,Queensland and Northern Territory Aerial Service
2148,QAP,Quick As Possible Quickly As Possible
2149,QB,Quarter Back
2150,QC,Quality Control
2151,QED,Quod Erat Demonstrandum (it has been proved)
2152,QFE,Quoted For Emphasis
2153,QFMT,Quoted For More Truth
2154,QFP,Quoted For Posterity
2155,QFT,Quoted For Truth
2156,QI,Quite Interesting
2157,QL,Quite Laughing
2158,QNO,Quiet Night Out
2159,QOL,Quality Of Life
2160,QOS,Quantam Of Solace
2161,QOTD,Quote Of The Day
2162,QOTSA,Queens Of The Stone Age (Band)
2163,QP,Quarter Pound (of weed)
2164,QQ4U,Quick Question For You
2165,QS,Quick Scope
2166,QVC,Quality Value Convenience (shopping channel)
2167,R5,Region 5 (DVD region)
2168,RA,Resident Advisor Resident Assistant
2169,RAC,Rock Against Communism
2170,RAK,Random Act of Kindness
2171,RAM,Random Access Memory
2172,RAOK,Random Act Of Kindness
2173,RAS,Remote Access Server
2174,RATM,Rage Against the Machine (band)
2175,RAWL,Roll Around While Laughing
2176,RAWR,"Right Answer, Wrong Reason"
2177,RBAY,Right Back At You
2178,RBG,Revolutionary But Gangsta
2179,RBTL,Read Between The Lines
2180,RBV,Red Bull and Vodka
2181,RC,Random Chat Radio Controlled
2182,RCT,Roller Coster Tycoon
2183,RD,Real Deal
2184,RDC,Really Don’t Care
2185,RDH,Rate Date Hate
2186,RDJ,Robert Downey Jr.
2187,RDM,Random Death Match
2188,RDO,Regular Day Off
2189,RDR,Red Dead Redemption (Game)
2190,RFC,Request For Comment
2191,RFI,Request For Information
2192,RFID,Radio Frequency Identification
2193,RFP,Request for Proposal
2194,RFQ,Request For Quotation
2195,RFT,Right First Time
2196,RFTS,Reach For The Stars
2197,RFYL,Run For Your Life
2198,RGB,"Red, Green, Blue"
2199,RHCP,Red Hot Chili Peppers (Band)
2200,RHD,Right Hand Drive
2201,RHI,Rumour Has It
2202,RHIP,Rank Has Its Privileges
2203,RHS,Right Hand Side
2204,RINO,Republican In Name Only
2205,RIYL,Recommended If You Like
2206,RL,Real Life
2207,RLAB,Roll Like A Buffalo
2208,RLF,Real Life Friend
2209,RLTW,Rangers Lead The Way
2210,RMA,Return Merchandise Authorization
2211,RME,Rolling My Eyes
2212,RML,Read My Lips
2213,RMT,Real-Money Trading
2214,RMV,Results May Vary
2215,RN,Right Now Registered Nurse
2216,RNA,Ribonucleic Acid
2217,RNB,Rhythm And Blues
2218,RNG,Random Number Generator
2219,RNR,Rock ‘N Roll
2220,RO,Ragnarok Online ( )
2221,ROAR,Right Of Admission Reserved
2222,ROFC,Rolling On Floor Crying
2223,ROFL,Rolling On Floor Laughing
2224,ROFLMFAO,Rolling On Floor Laughing My F***ing A** Off
2225,ROFLOL,"Rolling On Floor, Laughing Out Loud"
2226,ROG,Really Old Git
2227,ROH,Ring of Honor (wrestling)
2228,ROI,Return on Investment
2229,ROLF,Rolling On Laughing Floor
2230,ROR,Raughing out Roud
2231,ROS,Right On Schedule
2232,ROTC,Reserve Officer Training Corps
2233,ROTF,Rolling On The Floor (laughing is implied)
2234,ROTFFNAR,Rolling On The Floor For No Apparent Reason
2235,ROTFL,Rolling On The Floor Laughing
2236,ROTFLOL,Rolling On The Floor Laughing Out Loud
2237,ROTGL,Rolling On The Ground Laughing
2238,ROTK,Return of the King (Tolkien)
2239,ROTM,Run Of The Mill
2240,ROV,Remotely Operated Vehicle
2241,ROW,Rest Of the World
2242,ROY,Relative of yours?
2243,RPC,Role Playing Chat
2244,RPF,Real Person Fiction
2245,RPG,Rocket Propelled Grenade Role Playing Game
2246,RPM,Revolutions Per Minute
2247,RPS,Rock Paper Scissors (game)
2248,RQ,Random Questions (Livejournal community)
2249,RSI,Repetitive Strain Injury
2250,RSN,Real Soon Now
2251,RSPB,Royal Society for the Protection of Birds
2252,RSPCA,Royal Society for the Prevention of Cruelty to Animals
2253,RSS,Rich Site Summary Really Simple Syndication
2254,RSVP,Repondez s’il vous plait (Please reply)
2255,RT,Retweet Real Time
2256,RTA,Road Traffic Accident
2257,RTB,Return To Base
2258,RTD,Ready To Drink
2259,RTF,Return The Favour
2260,RTFAQ,Read The FAQ
2261,RTFD,Read The F***ing Description
2262,RTFI,Read The Flipping Instructions
2263,RTFM,Read The Flipping Manual
2264,RTFT,Read The F***ing Thread Read The F***ing Topic
2265,RTG,Ready To Go
2266,RTM,Read The Manual
2267,RTO,Radio Telephone Operator
2268,RTR,Roll Tide Roll
2269,RTS,Real Time Strategy
2270,RTV,Rock The Vote
2271,RTW,Ready To Wear Round The World
2272,RV,Recreational Vehicle
2273,RVB,Red Versus Blue (popular web-series)
2274,RVR,Realm Versus Realm ( )
2275,RW,Read-Write
2276,RWD,Rear Wheel Drive
2277,RWL,Roaring With Laughter
2278,RWNJ,Right Wing Nut Job
2279,RWP,Random Wall Post
2280,RWYS,Reap What You Sow
2281,RYC,Regarding Your Comment
2282,RYN,Read Your Note Regarding Your Note
2283,RYO,Roll Your Own
2284,SA,Sibling Alert
2285,SAB,Smoking A Blunt
2286,SAE,Stamped/Self Addressed Envelope
2287,SAF,Single Asian Female
2288,SAFM,Stay Away From Me
2289,SAHD,Stay At Home Dad
2290,SAHM,Stay At Home Mom
2291,SAHW,Stay At Home Wife
2292,SALTS,Smiled A Little Then Stopped
2293,SAM,Stop Annoying Me
2294,SAP,Sad And Pathetic Fool
2295,SASE,"Self-Addressed, Stamped Envelope"
2296,SAT,Scholastic Assessment Test
2297,SATA,Serial Advanced Technology Attachment
2298,SATC,Sex And The City (TV show)
2299,SATS,Standard Attainment Tests
2300,SBD,Silent But Deadly
2301,SBF,Single Black Female
2302,SBI,Surrounded By Incompetence
2303,SBJ,Sweet Baby Jesus
2304,SBM,Single Black Male
2305,SBS,Step By Step
2306,SBSP,SpongeBob SquarePants
2307,SBT,Sorry ‘Bout That
2308,SCNR,"Sorry, Could Not Resist"
2309,SCOTUS,Supreme Court Of The United States
2310,SCSI,Small Computer System Interface
2311,SCUBA,Self-Contained Underwater Breathing Apparatus
2312,SD,Sweet Dreams Secure Digital (memory card) So Drunk
2313,SDA,Seventh-Day Adventist
2314,SDK,Software Development Kit
2315,SDMF,"Strength, Determination, Merciless, Forever Society Dwelling Mother F***er"
2316,SDRAM,Synchronous Dynamic Random Access Memory
2317,SEO,Search Engine Optimization
2318,SEP,Somebody Else’s Problem
2319,SERP,Search Engine Results Page
2320,SF,Science Fiction San Francisco
2321,SFAM,Sister From Another Mister
2322,SFLR,Sorry For Late Reply
2323,SFO,San Francisco International Airport
2324,SFP,Sorry for Partying
2325,SFR,Smiling For Real
2326,SFSG,So Far So Good
2327,SFTBC,Sorry For The Broadcast
2328,SFW,Safe For Work
2329,SGTM,Sounds Good To Me
2330,SH,Same Here
2331,SHU,Secure Housing Unit
2332,SIWOTI,Someone Is Wrong On The Internet
2333,SLOL,Seriously Laughing Out Loud
2334,SLR,Single Lens Reflex (camera)
2335,SMAO,Study My Ass Off
2336,SMDH,Shaking My Damn Head
2337,SMDHE,Some Mothers Do Have Em
2338,SME,Small/Medium Enterprises
2339,SMGDH,Shaking My God Damn Head
2340,SMH,Shaking My Head
2341,SMHID,Shaking My Head In Despair
2342,SMHL,Shaking My Head Laughing
2343,SMIB,Southern Maryland Inbred
2344,SMIDSY,"Sorry Mate, I Didn’t See You"
2345,SML,Screw My Life Story of My Life
2346,SMN,Shoot Me Now
2347,SMOG,Sweet Mother Of God
2348,SMOP,Simple Matter Of Programming
2349,SMS,Short Message Service
2350,SMT,Sucking My Teeth
2351,SMTP,Simple Mail Transfer Protocol
2352,SNAFU,"Situation Normal, All Fouled Up"
2353,SNAG,Sensitive New Age Guy Sausage
2354,SNC,Social Network Check
2355,SND,Search And Destroy
2356,SNES,Super Nintendo Entertainment System
2357,SNF,So Not Funny
2358,SNM,Say No More
2359,SNR,Signal To Noise Ratio
2360,SNYK,So Now You Know
2361,SO,Significant Other Shout Out
2362,SOA,State Of Alert (band)
2363,SOAD,System Of A Down (Band)
2364,SOAG,Son Of A Gun
2365,SOG,Sea Of Green (cannabis growing)
2366,SOH,Sense Of Humor
2367,SOHF,Sense Of Humor Failure
2368,SOI,Statement of Intent
2369,SOIDH,Screenshot Or It Didn’t Happen
2370,SOMD,Sh*t On My Dick
2371,SOML,Story Of My Life
2372,SOMSW,Someone Over My Shoulder Watching
2373,SOOC,Straight Out Of Camera (not Photoshopped)
2374,SOOD,Cool
2375,SOOTB,Straight Out Of The Box
2376,SOP,Standard Operating Procedure
2377,SOPA,Stop Online Piracy Act
2378,SORN,Statutory Off Road Notification
2379,SOS,Save Our Souls (Help!)
2380,SOTA,State Of The Art
2381,SRH,Supporting Radical Habits (Clothing)
2382,SRM,Stark Raving Mad
2383,SRO,Standing Room Only
2384,SRT,Street and Racing Technology
2385,SS,Screen Shot
2386,SSA,Subject Says All
2387,SSBB,Super Smash Brothers Brawl (game)
2388,SSBHM,Super Sized
2389,SSC,"Safe, Sane, Consensual"
2390,SSD,Solid State Drive
2391,SSDD,Same Stuff Different Day
2392,SSH,Secure Shell (Unix program)
2393,SSID,Service Set Identifier
2394,SSL,Secure Socket Layer See Subject Line
2395,SSTS,Snickering Softly To Self
2396,SSWA,So Say We All
2397,STW,Search The Web
2398,STY,Same To You
2399,STYL,Speak To You Later
2400,SU,Shut Up
2401,SUAD,Shut Up And Drive
2402,SUL,See You Later
2403,SULA,Sweaty Upper Lip Alert
2404,TB,Text Back
2405,TBA,To Be Announced
2406,TBBH,To Be Brutally Honest
2407,TBBT,The Big Bang Theory (TV Show)
2408,TBC,To Be Continued
2409,TBCH,To Be Completely Honest
2410,TBD,To Be Decided
2411,TBE,To be Edited
2412,TBF,To Be Fair
2413,TBFU,Too Bad For You
2414,TBH,To Be Honest
2415,TBM,Tactical Boyfriend Mention
2416,TBMS,To Be More Specific
2417,TBNT,"Thanks, But No Thanks"
2418,TBPH,To Be Perfectly Honest
2419,TBQF,To Be Quite Frank
2420,TBQFH,To Be Quite F***ing Honest
2421,TBQH,To Be Quite Honest
2422,TBR,To Be Real
2423,TBS,Tablespoon To Be Specified
2424,TBSS,"Too Bad, So Sad"
2425,TBT,Truth Be Told
2426,TBTF,Too Big To Fail
2427,TBTG,Thanks Be To God
2428,TBTH,To Be Totally Honest
2429,TBTP,That’s Beside The Point
2430,TBU,To Be Updated
2431,TBYS,Think Before You Speak
2432,TC,Take Care
2433,TCB,Taking Care of  Business
2434,TCBY,The Country’s Best Yogurt
2435,TCCIC,Take Care ‘Cause I Care
2436,TCFC,Too Close For Comfort
2437,TCFN,Take Care For Now
2438,TCFS,Too Cool For School
2439,TCG,Trading Card Game
2440,TCGB,"Take Care, God Bless"
2441,TCK,Third Culture Kid
2442,TCL,Tool Command Language
2443,TCOB,Taking Care of Buisness
2444,TCOY,Take Care Of Yourself
2445,TCP,Transmission Control Protocol
2446,TCP/IP,Transmission Control Protocol/Internet Protocol
2447,TCTC,To Close To Call
2448,TD,Touchdown
2449,TDDUP,Til Death Do Us Part
2450,TDDWP,Til Death Do We Part
2451,TDF,To Die For
2452,TDG,Too Damn Good Three Days Grace (band)
2453,TDH,"Tall, Dark, and Handsome"
2454,TDI,Turbo Direct Injection Turbo Diesel Injection
2455,TDL,To Do List
2456,TDM,Team DeathMatch
2457,TDS,Technical Dificulties
2458,TDTF,Too Drunk to Function
2459,TDWP,The Devil Wears Prada (Band)
2460,TDY,Temporarily Deployed for a Year
2461,TEOTWAWKI,The End Of The World As We Know It
2462,TFA,Thanks For Asking
2463,TFC,Team Fortress Classic (game)
2464,TFCD,Time For Compact Disc
2465,TFFW,Too Funny For Words
2466,TFI,Thanks For the Information
2467,TFIOS,The Fault In Our Stars
2468,TFL,Tip For Life Transport For London
2469,TFLMK,Thanks For Letting Me Know
2470,TFLMS,Thanks For Letting Me Share
