,a,b
2471,TFLN,Texts From Last Night
2472,TFM,Total Frat Move
2473,TFMTK,That’s For Me To Know
2474,TFP,Thanks For Playing
2475,TFRM,Thanks For Reminding Me
2476,TFS,Thanks For Sharing
2477,TFT,The Frozen Throne (Warcraft III) Thin Film Transistor
2478,TFTA,Thanks For The Add
2479,TFTC,Thanks For The (Geo)Cache
2480,TFTD,Thought For The Day
2481,TFTI,Thanks For The Info
2482,TFTL,Thanks for the Link
2483,TG,Thank God Transgender Too Good
2484,TGAL,"Think Globally, Act Locally"
2485,TGE,Misspelling of ‘the’
2486,TGFG,Thank God For Google
2487,TGFI,Thank God For the Internet
2488,TGFL,Thank God For Life
2489,TGFT,Thank God For That
2490,TGI,Thank God It’s …
2491,TGIA,Thank God I’m Alive
2492,TGIAF,Thank God It’s Almost Friday
2493,TGIF,Thank God It’s Friday
2494,TGIM,Thank God It’s Monday
2495,TGIO,Thank God It’s Over
2496,TGIT,Thank God It’s Thursday
2497,TGOD,Taylor Gang Or Die
2498,TGP,Thumbnail Gallery Post
2499,TGTBT,Too Good To Be True
2500,THABTO,Two Heads Are Better Than One
2501,THWU,To Hell With You
2502,TIIC,The Idiots In Charge
2503,TINAG,This Is Not A Game
2504,TINALO,This Is Not A Legal Opinion
2505,TINAR,This Is Not A Recommendation
2506,TINSTAFL,There Is No Such Thing As Free Lunch
2507,TLA,Three Letter Acronym
2508,TLC,Tender Loving Care
2509,TLD,Top Level Domain
2510,TLDNR,Too Long; Did Not Read
2511,TLDR,Too Long; Didn’t Read
2512,TLDW,Too Long; Didn’t Watch
2513,TLGO,The List Goes On
2514,TLI,Too Little Information
2515,TLND,True Love Never Dies
2516,TLOL,Truly Laughing Out Loud
2517,TLTR,Too Long To Read
2518,TLYK,To Let You Know
2519,TM,Text Message Text Me Trademark
2520,TMA,Take My Advice
2521,TMAI,Tell Me About It
2522,TMB,Text Me Back
2523,TMBG,They Might Be Giants (band)
2524,TMBI,Tell Me ‘Bout It
2525,TME,Too Much Effort
2526,TMF,Too Much Forehead
2527,TMH,Touch My Hand
2528,TMI,Too Much Information
2529,TMK,To My Knowledge
2530,TML,Thank Me Later Text Me Later
2531,TMLT,To My Last Tweet
2532,TMM,Tell Me More
2533,TMMS,That Made Me Smile
2534,TMN,Touch Me Not
2535,TMNT,Teenage Mutant Ninja Turtles
2536,TMP,Tactical Machine Pistol
2537,TMR,Tomorrow
2538,TMRW,Tomorrow
2539,TMS,Too Much Swag(ger)
2540,TMSIDK,Tell Me Something I Don’t Know
2541,TMT,Too Much Tuna
2542,TMTC,Too Many To Count
2543,TMTH,Too Much To Handle
2544,TMTOWTDI,There’s More Than One Way To Do It
2545,TMTS,Too Much Too Soon
2546,TMTT,Too Much To Text
2547,TMY,Tell Me Why
2548,TMZ,Thirty Mile Zone (celebrity news site)
2549,TNA,Total Nonstop Action
2550,TNB,There’s Nothing Better
2551,TNBM,True Norwegian Black Metal
2552,TNF,That’s Not Funny
2553,TNG,The Next Generation (Star Trek)
2554,TNL,To Next Level
2555,TNLN,Took Nothing Left Nothing
2556,TNO,Trust No One
2557,TNOP,Totally Not Our Problem
2558,TNOT,Take Note Of That
2559,TNSL,"Took Nothing, Signed Logbook (geocaching)"
2560,TNSTAAFL,There’s No Such Thing As A Free Lunch
2561,TNT,Til Next Time
2562,TNTM,That’s News To Me
2563,TO,Time Out
2564,TOC,Table Of Contents
2565,TOD,Time Of Death Time Of Day
2566,TOEFL,Test Of English as a Foreign Language
2567,TOEIC,Test Of English for International Communication
2568,TOFT,Take One For the Team
2569,TOFTT,Take One For The Team
2570,TOH,The Other Half
2571,TOL,Thinking Out Loud Thinking Of Laughing
2572,TOM,Time Of Month
2573,TOTB,Think Outside the Box
2574,TOTD,Tip Of The Day Tweet Of The Day
2575,TOTGA,The One That Got Away
2576,TOTM,Time Of The Month
2577,TOTUS,Teleprompter Of The United States
2578,TOY,Thinking Of You
2579,TP,Toilet Paper Town Portal (diablo 2)
2580,TPAM,The Person Above Me
2581,TPB,The Pirate Bay
2582,TPE,Total Power Exchange
2583,TPK,Total Party Kill
2584,TPO,"Time, Place, Occasion"
2585,TPS,Totally pointless stuff
2586,TPT,Trailer Park Trash
2587,TPTB,The Powers That Be
2588,TR,Triple Rainbow
2589,TRAW,"Thick, Rich And White"
2590,TRDMC,Tears Running Down My Cheeks
2591,TRDMF,Tears Running Down My Face
2592,TRG,Tiny Rascal Gang
2593,TTFW,Too Tacky For Words
2594,TTG,Time To Go
2595,TTGG,Time To Go Girl
2596,TTH,Trying Too Hard
2597,TTIUWP,This Thread Is Useless Without Pictures
2598,TTIWWP,This Thread Is Worthless Without Pictures
2599,TTJASI,Take This Job And Shove It
2600,TTL,Thank The Lord Time To Live (network cache)
2601,TTM,Talk To Me
2602,TTMAB,TO THE MOON AND BACK
2603,TTML,Talk To Me Later
2604,TTO,Time To Own
2605,TTOTM,That Time Of The Month
2606,TTP,To The Point
2607,TTR,Time To Relax
2608,TTT,Third Tier Toilet (bad school)
2609,TTTE,Thomas The Tank Engine
2610,TTTH,Talk To The Hand
2611,TTTT,These Things Take Time
2612,TTTTY,Time To Talk To You
2613,TTUL,Talk To You Later
2614,TTUS,Talk To You Soon.
2615,TTUT,Talk To You Tomorrow
2616,TTUTT,To Tell You the Truth
2617,TTY,Talk To You
2618,TTYF,Talk To You Forever
2619,TTYIAB,Talk To You In A Bit
2620,TTYITM,Talk To You In The Morning
2621,TTYL,Talk To You Later
2622,TTYM,Talk to You Ma
2623,TTYN,Talk To You Never
2624,TTYRS,Talk To You Real Soon
2625,TTYS,Talk To You Soon
2626,TTYT,Talk To You Tomorrow
2627,TTYTT,To Tell You The Truth
2628,TTYVS,Talk To You Very Soon
2629,TUL,Tell You Later Text You Later
2630,TVM,Thanks Very Much
2631,TW,Trigger Warning
2632,TWAIN,Technology Without An Interesting Name
2633,TWLOHA,To Write Love On Her Arms
2634,TWOC,Taken Without Owner’s Consent
2635,TWTMC,To Whom This May Concern
2636,TWU,That’s What’s Up
2637,TWYL,Talk With You Later
2638,TWYMS,That’s What Your Mom Said
2639,TY,Thank You
2640,TYB,Try Your Best
2641,TYBG,Thank You Based God
2642,TYFAYS,Thank You For All Your Support
2643,TYFE,Thank You For Everything
2644,TYFYT,Thank You For Your Time
2645,TYG,There You Go
2646,TYJ,Thank You Jesus
2647,TYL,Text You Later
2648,TYLJ,Thank You Lord Jesus
2649,TYM,Thank You Much
2650,TYMBI,Thought You Might Be Interested
2651,TYS,Thank You Sir
2652,TYSM,Thank You So Much
2653,TYSVM,Thank You So Very Much
2654,TYT,Take Your Time
2655,TYVM,Thank You Very Much
2656,URI,"Uniform Resource Indicator, URL"
2657,URL,"Uniform Resource Locator, internet address"
2658,US,United States
2659,USA,United States of America
2660,USAF,United States Air Force
2661,USB,Universal Serial Bus
2662,USBM,United States Black Metal
2663,USC,University of Southern California
2664,USCG,United States Coast Guard
2665,USD,United States Dollar
2667,USMC,United States Marine Corps
2668,USP,Unique Selling Point
2669,USPS,United States Postal Service
2670,USS,United States Ship
2671,USSR,Union of Soviet Socialist Republics
2672,USW,Und So Weiter (German for etc)
2673,UT,Unreal Tournament
2674,UTC,Coordinated Universal Time Under The Counter
2675,UTD,Up To Date
2676,UTE,"Utility vehicle, pickup truck"
2677,UTF,Unicode Transformation Format
2678,UTFL,"Use The Force, Luke"
2679,UTH,Up The Hoods
2680,UTI,Urinary Tract Infection
2681,UTO,Unable To Obtain
2682,UTP,Up-Town Projects
2683,UTR,Under The Radar
2684,UTS,Under The Skin
2685,UTT,Under The Table
2686,UV,Unpleasant Visual
2687,UW,You’re Welcome
2688,UWS,Upper West Side (of Manhattan)
2690,UE,User Experience
2691,UY,Up Yours
2692,VA,Various Artists
2693,VBD,Very Big Deal
2694,VBG,Very Big Grin
2695,VBL,Visible Bra Line
2696,VBR,Variable Bit Rate
2697,VBS,Very Big Smile
2698,VC,Voice Chat
2699,VCARD,Virtual (online) business card
2700,VCD,Video Compact Disc
2701,VCR,Video Cassette Recorder
2702,VDU,Visual Display Unit
2703,VFM,Value For Money
2704,VG,Video Game Very Good
2705,VGA,Video Graphics Array/Adaptor
2706,VGC,Very Good Condition
2707,VGG,Very Good Game
2708,VGL,Very Good Looking
2709,VGM,Video Game Music
2710,VH1,Video Hits One (TV channel)
2711,VHF,Very High Frequency
2712,VHS,Video Home System
2713,VIBE,"Atmosphere, ambience"
2714,VID,Video
2715,VIG,Interest paid on a loan
2716,VIN,Vehicle Identification Number
2717,VIP,Very Important Person
2718,VIZ,Adult comic Namely (videlicet in Latin)
2719,VJ,Video Jockey (like   with lights and video)
2720,VLAN,Virtual Local Area Network
2721,VLSI,Very Large-Scale Integration
2722,VM,Voice Mail
2723,VMA,Video Music Awards
2724,VMI,Virginia Military Institute
2725,VN,Very Nice
2726,VNC,Virtual Network Computing
2727,VNDS,Very Near Dead Stock
2728,VNH,"Very Nice Hand (in online card games, especialy poker)"
2729,VNS,Very Nice Shot
2730,VOA,Voice Of America
2731,VOD,Video-On-Demand
2732,VOIP,Voice Over   – internet telephony
2733,VP,Vice President
2734,VPL,Visible Panty Line
2735,VPN,Virtual Private Network
2736,VR,Virtual Reality
2737,VS,"Versus, against"
2738,VT,Video Tape
2739,VTL,Visible Thong Line
2740,VTPR,View To Permanent Relationship
2741,VTR,Video Tape Recorder
2742,VV,Very Very
2743,VVN,Very Very Nice
2744,VWP,Very Well Played Very Well Put
2745,WAFWOT,What A F***ing Waste Of Time
2746,WAJ,What A Joke
2747,WAK,"Weird, awful"
2748,WAL,What A Loser
2749,WAM,Wait A Minute What A Mess
2750,WAMH,With All My Heart
2751,WAMHAS,With All My Heart And Soul
2752,WAML,With All My Love
2753,WAP,Wireless Access Point
2754,WAPCE,Women Are Pure Concentrated Evil
2755,WAREZ,Cracked/pirate software
2756,WAS,Wait And See
2757,WAY,Where Are You?
2758,WAYD,What Are You Doing
2759,WAYDRN,What Are You Doing Right Now?
2760,WAYLT,What Are You Listening To?
2761,WAYOA,What Are You On About?
2762,WAYTA,What Are You Talking About
2763,WAYWO,What Are You Working On?
2764,WBB,Will Be Back
2765,WBM,Wanna-Be Moderator
2766,WBN,Would Be Nice
2767,WBR,With Best Regards
2768,WBS,Write Back Soon
2769,WBT,Will Be There
2770,WBU,What About You?
2771,WBW,White Boy Wasted
2772,WBY,What (A)bout You?
2773,WCB,Will Call Back
2774,WCG,World Cyber Games
2775,WCIS,What Can I Say
2776,WCS,Worst Case Scenario
2777,WCW,World Championship Wrestling
2778,WCYD,What Can You Do?
2779,WD,Well Done
2780,WDE,Worst Day Ever
2781,WDFD,Whoop Dee F***ing Doo
2782,WDH,What Da Hell
2783,WDIB,Why Do I Bother?
2784,WDIC,What Do I Care?
2785,WDIM,What Does It Mean?
2786,WDITOT,Why Didn’t I Think Of That
2787,WDMB,Will Do My Best
2788,WDOML,Worst Day Of My Life
2789,WDTM,What Does That Mean?
2790,WDUD,What Do You Do?
2791,WDUM,What Do You Mean?
2792,WDUT,What Do You Think?
2793,WDW,Who Dares Wins
2794,WDY,Why Don’t You?
2795,WDYD,What Did You Do?
2796,WDYDT,Why Did You Do That? What Did You Do Today?
2797,WDYE,What Did You Expect?
2798,WDYG,Where Did You Go?
2799,WDYM,What Do You Mean?
2800,WDYMBT,What Do You Mean By That?
2801,WDYS,What Did You Say?
2802,WDYT,What Do You Think?
2803,WDYW,What Do You Want?
2804,WDYWFM,What Do You Want From Me?
2805,WDYWT,What Did You Wear Today?
2806,WDYWTTA,What Do You Want To Talk About?
2807,WEF,With Effect From
2808,WEP,Wireless Encryption Protocol
2809,WFYB,Whatever Floats Your Boat
2810,WHYB,Where Have You Been?
2811,WHYD,What Have You Done?
2812,WIA,Wounded In Action
2813,WIP,Work In Progress
2814,WIR,When It’s Ready
2815,WITH,Where In The Hell
2816,WITW,What In The World
2817,WIUWY,What Is Up With You?
2818,WIWT,What I Wore Today Wish I Was There
2819,WIWWU,Wish I Was With You
2820,WIWWY,What Is Wrong With You?
2821,WIYP,What Is Your Problem?
2822,WJD,What Jesus Did
2823,WK,White Knight
2824,WKS,Well Kept Secret
2825,WKYP,Will Keep You Posted
2826,WLM,Windows Live Messenger
2827,WLTM,Would Like To Meet
2828,WLYB,Who Loves You Baby
2829,WLYK,Will Let You Know
2830,WM,Woman Marine
2831,WMA,Windows Media Audio
2832,WMD,Weapons of Mass Destruction
2833,WMF,Wagging My Finger
2834,WMG,Warner Music Group
2835,WML,Wish Me Luck
2836,WMMOWS,Wash My Mouth Out With Soap!
2837,WMP,Windows Media Player With Much Pleasure
2838,WMV,Windows Media Video
2839,WMYB,What Makes You Beautiful
2840,WN,Why Not? What’s New?
2841,WNDITWB,We Never Did It This Way Before
2842,WNL,Within Normal Limits
2843,WNOHGB,Where No One Has Gone Before
2844,WNTT,We Need To Talk
2845,WNWY,What’s New With You?
2846,WOAT,Worst Of All Time
2847,WOB,Waste Of Bandwith
2848,WOC,Women of Color
2849,WOE,What On Earth
2850,WOF,While On Fire
2851,WOG,Offensive term for a black person A foreigner
2852,WOM,Women Over Mates
2853,WOMBAT,"Waste Of Money, Brains, And Time"
2854,WOS,Waste Of Space Wife Over Shoulder
2855,WOTAM,Waste of Time and Money
2856,WOTCHER,What are you up to?  ?
2857,WOTD,Word Of The Day
2858,WOTLK,Wrath Of The Lich King ( )
2859,WOTS,Word On The Street
2860,WP,Wrong Person Well Played
2861,WPA,Wi-Fi Protected Access
2862,WPM,Words Per Minute
2863,WPWW,White Pride World Wide
2864,WR,Warm Regards
2865,WRT,With Regard To
2866,WRU,Where Are You?
2867,WRUD,What Are You Doing?
2868,WRUTA,What Are You Talking About?
2869,WRYD,What Are You Doing?
2870,WRYTA,What Are You Talking About?
2871,WSIC,Why Should I Care?
2872,WSM,Woman Seeking Man
2873,WSP,What’s up?
2874,WSS,Why So Serious?
2875,WST,We’re Still Friends
2876,WSUL,Will See You Later
2877,WSWTA,What Shall We Talk About?
2878,WT?,What The …? or Who the …?
2879,WTA,Winner Takes All
2880,WTB,Want To Buy
2881,WTBS,With That Being Said
2882,WTC,World Trade Center What The Crap
2883,WTD,What The Deuce?
2884,WTDT,What To Do Today
2885,WTDTA,Where They Do That At?
2886,WTFT,What The French Toast (polite  )
2887,WTG,Way To Go
2888,WTGP,"Way To Go, Partner"
2889,WTGP?,Want To Go Private?
2890,WTH,What/Where/Who The Hell
2891,WTHAY,Who The Hell Are You?
2892,WTHC,Who The Hell Cares?
2893,WTHIGO,What The Hell Is Going On?
2894,WTHIT,What The Hell Is That?
2895,WTHIWWY,What The Hell Is Wrong With You?
2896,WTHN,Why The Heck Not?
2897,WTHRU,Who The Hell Are You?
2898,WTII,What time Is It?
2899,WTK,Want To Know
2900,WTL,Will Talk Later
2901,WTLW,Welcome To Last Week
2902,WTM,What’s The Matter?
2903,WTMI,Way Too Much Information
2904,WTML,Welcome To My Life
2905,WTMW,Welcome To My World
2906,WTO,World Trade Organization
2907,WTP,What’s The Point?
2908,WTT,Want To Trade
2909,WTTC,Welcome To The club
2910,WTTIR,When The Time Is Right
2911,WTTJ,Welcome To The Jungle
2912,WTTM,Without Thinking Too Much
2913,WTW,Walk Through Walls (gaming) Walk this Way
2914,WTY,"Why, Thank You"
2915,WTYO,Whatever Turns You On
2916,WUCIWUG,What You See Is What You Get
2917,WUD,What You Doing?
2918,WUF,Where are you from?
2919,WUG,What You Got? Where You Going?
2920,WUGOWM,Will You Go Out With Me?
2921,WUL,Watched User List
2922,WULA,What’re you Looking At?
2923,WULLNP,Wishing You Long Life And Prosperity
2924,WUM,Woman Wind-Up Merchant
2925,WUW,What You Want?
2926,WUWCB,What do You Want to Chat about?
2927,WUWH,Wish You Were Here
2928,WUWT,What’s Up With That
2929,WUWTA,What You Wanna Talk About?
2930,WUWTB,What You Wanna Talk ‘Bout?
2931,WUWU,What’s Up With You?
2932,WW,White Widow (strong marijuana) White Woman
2933,WWA,Wiggers with attitude
2934,WWBD,What Would Batman Do?
2935,WWCND,What Would Chuck Norris Do?
2936,WWE,World Wrestling Entertainment
2937,WWF,World Wildlife Fund World Wrestling Federation (now WWE)
2938,WWIC,Why Would I Care?
2939,WWIT,What Was I Thinking?
2940,WWJBD,What Would Jason Bourne Do?
2941,WWJD,What Would Jesus Do?
2942,WWJP,What Would Jesus Post?
2943,WWOTW,Wicked Witch Of The West
2944,WWTBAM,Who Wants To Be A Millionaire?
2945,WWU,Where Were You?
2946,WWW,World Wide Web
2947,WWWY,What’s Wrong With You?
2948,WWY,Where Were You?
2949,WWYD,What Would You Do?
2950,WWYDT,Why Would You Do That?
2951,WYA,Where You At?
2952,WYATB,Wish You All The Best
2953,WYB,Watch Your Back
2954,WYBD,What’ve You Been Doing?
2955,WYBMV,Will You Be My Valentine?
2956,WYCM,Will You Call Me?
2957,WYD,What You Doing?
2958,WYDN,What You Doing Now?
2959,WYF,What’s Your Favorite …?
2960,WYG,What You Get
2961,WYGOWM,Will You Go Out With Me?
2962,WYK,Would You Kindly
2963,WYL,Whatever You Like
2964,WYLABOCTGWTR,Would You Like A Bowl Of Cream To Go With That Remark?
2965,WYLASOMWTC,Would You Like A Saucer Of Milk With That Comment?
2966,WYLION,Whether You Like It Or Not
2967,WYLSCWTW,Would You Like Some Cheese With That Whine?
2968,WYLT,What You Listening To?
2969,WYM,Watch Your Mouth What You Mean?
2970,WYMM,Will You Marry Me?
2971,WYN,What’s Your Name?
2972,WYP,What’s Your Problem? What’s Your Point?
2973,WYR,Would You Rather
2974,WYS,What You Said
2975,WYSIWYG,What You See Is What You Get
2976,WYTA,What You Talking About?
2977,WYUT,What You Up To
2978,WYW,Whatever You Want
2979,WYWH,Wish You Were Here
2980,WYWTA,What You Wanna Talk About
2981,YAGB,You Ain’t Grizz Baby ( )
2982,YALA,You Always Live Again
2983,YANA,You Are Not Alone
2984,YATB,You Are The Best
2985,YATK,You Are Too Kind
2986,YATLOML,You Are The Love Of My Life
2987,YAVW,You Are Very Welcome
2988,YAW,You Are Welcome
2989,YBS,You’ll Be Sorry
2990,YBTJ,You Be The Judge
2991,YBW,You’ve Been Warned
2992,YBWM,You Belong With Me
2993,YCMIU,You Couldn’t Make It Up
2994,YCMU,You Crack Me Up
2995,YDEK,You Don’t Even Know
2996,YDI,You Deserve It
2997,YDK,You Don’t Know
2998,YDL,Yellow Dog Linux
2999,YDMS,You Don’t Make Sense
3000,YDMT,You Don’t Mean That
3001,YDS,You Don’t Say
3002,YDU,You Don’t Understand
3003,YF,Your Friend
3004,YFW,Your Face When …
3005,YG,Young Gangster
3006,YGG,You Go Girl
3007,YGI,You Got It
3008,YGLT,You’re Gonna Love This
3009,YGM,You Get Me? You’ve Got Mail
3010,YGPM,You’ve Got Private Message
3011,YGTBK,You’ve Got To Be Kidding
3012,YGTBKM,You’ve Got To Be Kidding Me
3013,YGTI,You Get The Idea
3014,YGTR,You Got That Right
3015,YHA,Youth Hostel Association
3016,YHBT,You Have Been Trolled
3017,YHBW,You Have Been Warned
3018,YHGASP,You Have Got A Serious Problem
3019,YHL,You Have Lost
3020,YHM,You Have Mail
3021,YHNI,You Have No Idea
3022,YHTBT,You Had To Be There
3023,YID,Yes I Do
3024,YIK,"Yes, I Know"
3025,YITB,Yours In The Bond
3026,YITE,Are You All Right?
3027,YJLTG,You Just Lost The Game
3028,YK,You’re Kidding
3029,YKHII,You Know How It Is
3030,YKIMS,You Know It Makes Sense
3031,YKTR,You Know the Rest
3032,YKW,You Know Who
3033,YKWIM,You Know What I Mean
3034,YKWIS,You Know What I’m Saying?
3035,YKYLM,You Know You Love Me
3036,YL,Young Lady
3037,YLI,You Love It
3038,YLM,You Love Me?
3039,YLOD,Yellow Light Of Death
3040,YLYL,You Laugh You Lose
3041,YM,Yahoo Messenger Your Mom
3042,YMBJ,You Must Be Joking
3043,YMCA,Young Mens Christian Association
3044,YMCMB,Young Money Cash Money Billionaires
3045,YMMD,You Made My Day
3046,YMML,You Make Me Laugh
3047,YMMS,You Make Me Smile
3048,YMMV,Your Mileage May Vary
3049,YMW,You’re Most Welcome
3050,YNK,You Never Know
3051,YNW,You’re Not Welcome
3052,YNWA,You’ll Never Walk Alone
3053,YOLF,You Only Live Forever
3054,YOLO,You Only Live Once
3055,YOMB,You Owe Me Big
3056,YOYO,You’re On Your Own
3057,YP,"Your Problem Yes, Please"
3058,YQW,You’re Quite Welcome
3059,YR,"Yea, Right."
3060,YRG,You Are Good!
3061,YRMV,Your Results May Vary
3062,YRO,Your Rights Online
3063,YRU,Why Are You…?
3064,YSC,Your So Cute
3065,YSI,You Stupid Idiot
3066,YSK,You Should Know
3067,YSMTU,You So Made That Up
3068,YSS,You Suck Severely
3069,YSVW,You’re So Very Welcome
3070,YSYL,"You Snooze, You Loose"
3071,YT?,You Think ?
3072,YTB,You’re The Best
3073,YTD,Year To Date
3074,YTM,You’re The Man
3075,YTML,You’ll Thank Me Later
3076,YTMND,"You’re The Man Now, Dog (website)"
3077,YTO,You’re The One
3078,YTP,YouTube Poop
3079,YTTM,You Talk Too Much You Talking To Me?
3080,YUM,Said when something tastes good or is attractive
3081,YVW,You’re Very Welcome
3082,YW,You’re Welcome
3083,YWCA,Young Women’s Christian Association
3084,YWIMC,Your Wish Is My Command
3085,YWSYLS,"You Win Some, You Lose Some"
3086,YWU?,Yo Waz Up?
